'자전거번호','대여일시','대여대여소번호','대여대여소명','대여거치대','반납일시','반납대여소번호','반납대여소명','반납거치대','이용시간(분)','이용거리(M)'
'SPB-07738','2018-01-01 00:36:11','1044',' 굽은다리역',2,'2018-01-01 00:50:01','1019',' 다성이즈빌아파트(호원대 대각선 맞은편)',10,13,2890
'SPB-10762','2018-01-01 00:36:29','1231',' 잠실역 6번출구',3,'2018-01-01 01:23:12','2344',' 리엔파크 2단지 앞',1,45,7940
'SPB-00317','2018-01-01 00:36:44','548',' 자양나들목',20,'2018-01-01 00:40:39','503',' 더샵스타시티 C동 앞',11,3,980
'SPB-02615','2018-01-01 00:36:44','1235',' 잠실트리지움310동 옆',2,'2018-01-01 01:07:16','2326',' 대치동 삼성로',6,30,3690
'SPB-10384','2018-01-01 00:36:50','1348',' 성북제일새마을금고 본점 앞',2,'2018-01-01 00:47:19','1339',' 삼성전자서비스 성북센터',4,10,1430
'SPB-05522','2018-01-01 00:37:29','1235',' 잠실트리지움310동 옆',4,'2018-01-01 01:07:26','2326',' 대치동 삼성로',8,29,3640
'SPB-10186','2018-01-01 00:37:41','811',' 녹사평역1번출구',1,'2018-01-01 00:46:40','805',' 문배어린이공원 앞',9,8,1650
'SPB-10353','2018-01-01 00:37:41','159',' 이대역 4번 출구',4,'2018-01-01 00:48:56','142',' 아현역 4번출구 앞',2,10,750
'SPB-01135','2018-01-01 00:37:43','811',' 녹사평역1번출구',3,'2018-01-01 00:46:54','805',' 문배어린이공원 앞',8,8,1670
'SPB-10667','2018-01-01 00:37:45','315',' 신한은행 안국역지점 옆',2,'2018-01-01 00:40:05','315',' 신한은행 안국역지점 옆',2,2,10
'SPB-06639','2018-01-01 00:38:13','223',' 진주아파트상가 앞',12,'2018-01-01 00:42:36','221',' 여의도초교 앞',1,4,690
'SPB-00296','2018-01-01 00:38:31','1211',' 방이삼거리',1,'2018-01-01 00:41:19','1211',' 방이삼거리',1,2,0
'SPB-06671','2018-01-01 00:38:32','103',' 망원역 2번출구 앞',8,'2018-01-01 00:41:09','184',' SK망원동주유소 건너편',8,2,560
'SPB-08207','2018-01-01 00:38:37','1019',' 다성이즈빌아파트(호원대 대각선 맞은편)',1,'2018-01-01 00:50:57','1011',' LIGA 아파트 앞',5,12,1200
'SPB-12901','2018-01-01 00:38:41','144',' 공덕역 8번출구',5,'2018-01-01 00:48:23','142',' 아현역 4번출구 앞',11,9,1840
